Model,Feature_Selection,F1_macro_CV,F1_macro_Testing,Accuracy_Testing,Precision_macro_Testing,Recall_macro_Testing,AUC_macro_Testing,Precision_weighted_Testing,Recall_weighted_Testing,F1_weighted_Testing,AUC_weighted_Testing,Accuracy_CV,Precision_macro_CV,Recall_macro_CV,AUC_macro_CV,Precision_weighted_CV,Recall_weighted_CV,F1_weighted_CV,AUC_weighted_CV
decision_tree,spearman_corr,0.4241 ± 0.0117,0.4014 ± 0.0325,0.4784 ± 0.0292,0.4025 ± 0.0327,0.4028 ± 0.0315,0.5603 ± 0.0237,0.4790 ± 0.0298,0.4784 ± 0.0292,0.4776 ± 0.0291,0.5765 ± 0.0248,0.4947 ± 0.0131,0.4248 ± 0.0118,0.4242 ± 0.0117,0.5751 ± 0.0092,0.4971 ± 0.0124,0.4947 ± 0.0131,0.4955 ± 0.0126,0.5889 ± 0.0117
decision_tree,spearman_sulov,0.4001 ± 0.0204,0.4070 ± 0.0399,0.4857 ± 0.0322,0.4087 ± 0.0406,0.4078 ± 0.0399,0.5636 ± 0.0281,0.4836 ± 0.0337,0.4857 ± 0.0322,0.4834 ± 0.0318,0.5792 ± 0.0259,0.4791 ± 0.0173,0.4004 ± 0.0205,0.4004 ± 0.0203,0.5590 ± 0.0145,0.4795 ± 0.0173,0.4791 ± 0.0173,0.4790 ± 0.0171,0.5765 ± 0.0137
decision_tree,mutual_info,0.4174 ± 0.0171,0.4157 ± 0.0519,0.4930 ± 0.0436,0.4173 ± 0.0520,0.4168 ± 0.0524,0.5711 ± 0.0382,0.4951 ± 0.0439,0.4930 ± 0.0436,0.4931 ± 0.0432,0.5890 ± 0.0360,0.4923 ± 0.0163,0.4179 ± 0.0173,0.4175 ± 0.0167,0.5697 ± 0.0123,0.4906 ± 0.0161,0.4923 ± 0.0163,0.4912 ± 0.0161,0.5835 ± 0.0144
decision_tree,chi2,0.4024 ± 0.0302,0.4020 ± 0.0307,0.4824 ± 0.0268,0.4031 ± 0.0304,0.4034 ± 0.0313,0.5556 ± 0.0234,0.4801 ± 0.0287,0.4824 ± 0.0268,0.4802 ± 0.0265,0.5714 ± 0.0251,0.4772 ± 0.0270,0.4027 ± 0.0299,0.4025 ± 0.0303,0.5536 ± 0.0230,0.4790 ± 0.0268,0.4772 ± 0.0270,0.4779 ± 0.0267,0.5674 ± 0.0227
decision_tree,chi2_mi_union_topk,0.3992 ± 0.0236,0.4134 ± 0.0164,0.4912 ± 0.0182,0.4146 ± 0.0156,0.4146 ± 0.0172,0.5627 ± 0.0123,0.4890 ± 0.0171,0.4912 ± 0.0182,0.4892 ± 0.0167,0.5775 ± 0.0172,0.4719 ± 0.0216,0.3998 ± 0.0230,0.3995 ± 0.0245,0.5526 ± 0.0208,0.4780 ± 0.0240,0.4719 ± 0.0216,0.4745 ± 0.0221,0.5680 ± 0.0226
random_forest,spearman_corr,0.4231 ± 0.0193,0.4237 ± 0.0264,0.5769 ± 0.0256,0.4442 ± 0.0514,0.4470 ± 0.0238,0.7034 ± 0.0178,0.5223 ± 0.0359,0.5769 ± 0.0256,0.5347 ± 0.0235,0.7279 ± 0.0188,0.5709 ± 0.0140,0.4529 ± 0.0291,0.4422 ± 0.0173,0.6994 ± 0.0102,0.5223 ± 0.0222,0.5709 ± 0.0140,0.5303 ± 0.0166,0.7201 ± 0.0109
random_forest,spearman_sulov,0.4201 ± 0.0134,0.4226 ± 0.0303,0.5777 ± 0.0228,0.4335 ± 0.0389,0.4464 ± 0.0261,0.7048 ± 0.0144,0.5168 ± 0.0290,0.5777 ± 0.0228,0.5348 ± 0.0244,0.7285 ± 0.0163,0.5670 ± 0.0101,0.4432 ± 0.0226,0.4377 ± 0.0120,0.6996 ± 0.0100,0.5166 ± 0.0152,0.5670 ± 0.0101,0.5278 ± 0.0120,0.7209 ± 0.0088
random_forest,mutual_info,0.4240 ± 0.0222,0.4305 ± 0.0302,0.5780 ± 0.0175,0.4487 ± 0.0538,0.4517 ± 0.0245,0.7033 ± 0.0138,0.5280 ± 0.0347,0.5780 ± 0.0175,0.5398 ± 0.0208,0.7266 ± 0.0129,0.5667 ± 0.0150,0.4479 ± 0.0419,0.4400 ± 0.0195,0.6959 ± 0.0126,0.5198 ± 0.0271,0.5667 ± 0.0150,0.5297 ± 0.0165,0.7176 ± 0.0119
random_forest,chi2,0.4277 ± 0.0208,0.4262 ± 0.0232,0.5725 ± 0.0184,0.4367 ± 0.0303,0.4474 ± 0.0216,0.7020 ± 0.0135,0.5198 ± 0.0226,0.5725 ± 0.0184,0.5352 ± 0.0180,0.7242 ± 0.0135,0.5627 ± 0.0152,0.4490 ± 0.0243,0.4407 ± 0.0196,0.6910 ± 0.0119,0.5195 ± 0.0197,0.5627 ± 0.0152,0.5294 ± 0.0170,0.7114 ± 0.0118
random_forest,chi2_mi_union_topk,0.4314 ± 0.0236,0.4385 ± 0.0290,0.5773 ± 0.0232,0.4587 ± 0.0446,0.4551 ± 0.0244,0.6964 ± 0.0109,0.5313 ± 0.0314,0.5773 ± 0.0232,0.5419 ± 0.0233,0.7192 ± 0.0124,0.5654 ± 0.0187,0.4523 ± 0.0336,0.4455 ± 0.0219,0.6886 ± 0.0112,0.5239 ± 0.0242,0.5654 ± 0.0187,0.5331 ± 0.0190,0.7094 ± 0.0121
extra_trees,spearman_corr,0.4321 ± 0.0285,0.4350 ± 0.0110,0.5788 ± 0.0164,0.4599 ± 0.0310,0.4549 ± 0.0090,0.6976 ± 0.0137,0.5348 ± 0.0174,0.5788 ± 0.0164,0.5423 ± 0.0110,0.7210 ± 0.0149,0.5657 ± 0.0157,0.4528 ± 0.0409,0.4484 ± 0.0230,0.6937 ± 0.0119,0.5265 ± 0.0288,0.5657 ± 0.0157,0.5343 ± 0.0209,0.7135 ± 0.0124
extra_trees,spearman_sulov,0.4330 ± 0.0174,0.4295 ± 0.0237,0.5766 ± 0.0232,0.4421 ± 0.0400,0.4520 ± 0.0218,0.6985 ± 0.0229,0.5261 ± 0.0264,0.5766 ± 0.0232,0.5395 ± 0.0197,0.7217 ± 0.0222,0.5659 ± 0.0132,0.4602 ± 0.0289,0.4489 ± 0.0160,0.6987 ± 0.0089,0.5300 ± 0.0187,0.5659 ± 0.0132,0.5344 ± 0.0134,0.7175 ± 0.0105
extra_trees,mutual_info,0.4293 ± 0.0148,0.4231 ± 0.0252,0.5652 ± 0.0184,0.4286 ± 0.0378,0.4437 ± 0.0201,0.6938 ± 0.0187,0.5143 ± 0.0289,0.5652 ± 0.0184,0.5308 ± 0.0200,0.7152 ± 0.0176,0.5583 ± 0.0122,0.4470 ± 0.0233,0.4441 ± 0.0131,0.6920 ± 0.0107,0.5231 ± 0.0161,0.5583 ± 0.0122,0.5304 ± 0.0124,0.7112 ± 0.0107
extra_trees,chi2,0.4265 ± 0.0173,0.4325 ± 0.0261,0.5659 ± 0.0196,0.4464 ± 0.0391,0.4482 ± 0.0221,0.6914 ± 0.0164,0.5254 ± 0.0266,0.5659 ± 0.0196,0.5358 ± 0.0191,0.7136 ± 0.0168,0.5553 ± 0.0161,0.4402 ± 0.0225,0.4410 ± 0.0151,0.6858 ± 0.0116,0.5182 ± 0.0174,0.5553 ± 0.0161,0.5277 ± 0.0159,0.7053 ± 0.0135
extra_trees,chi2_mi_union_topk,0.4363 ± 0.0209,0.4526 ± 0.0401,0.5806 ± 0.0320,0.4763 ± 0.0552,0.4656 ± 0.0339,0.6950 ± 0.0208,0.5453 ± 0.0404,0.5806 ± 0.0320,0.5511 ± 0.0332,0.7164 ± 0.0195,0.5564 ± 0.0185,0.4534 ± 0.0294,0.4476 ± 0.0208,0.6850 ± 0.0149,0.5269 ± 0.0227,0.5564 ± 0.0185,0.5327 ± 0.0183,0.7044 ± 0.0151
xgboost,spearman_corr,0.4255 ± 0.0186,0.4163 ± 0.0341,0.5337 ± 0.0294,0.4177 ± 0.0390,0.4232 ± 0.0307,0.6730 ± 0.0236,0.5009 ± 0.0321,0.5337 ± 0.0294,0.5140 ± 0.0299,0.6932 ± 0.0240,0.5358 ± 0.0164,0.4292 ± 0.0210,0.4293 ± 0.0185,0.6745 ± 0.0112,0.5086 ± 0.0165,0.5358 ± 0.0164,0.5193 ± 0.0159,0.6943 ± 0.0104
xgboost,spearman_sulov,0.4231 ± 0.0153,0.4223 ± 0.0306,0.5385 ± 0.0246,0.4269 ± 0.0319,0.4281 ± 0.0272,0.6740 ± 0.0241,0.5066 ± 0.0276,0.5385 ± 0.0246,0.5185 ± 0.0263,0.6940 ± 0.0252,0.5381 ± 0.0121,0.4262 ± 0.0187,0.4291 ± 0.0144,0.6726 ± 0.0123,0.5071 ± 0.0129,0.5381 ± 0.0121,0.5192 ± 0.0120,0.6931 ± 0.0125
xgboost,mutual_info,0.4311 ± 0.0200,0.4143 ± 0.0266,0.5322 ± 0.0266,0.4171 ± 0.0266,0.4210 ± 0.0250,0.6672 ± 0.0206,0.4996 ± 0.0265,0.5322 ± 0.0266,0.5121 ± 0.0259,0.6876 ± 0.0232,0.5412 ± 0.0147,0.4364 ± 0.0232,0.4348 ± 0.0177,0.6722 ± 0.0117,0.5134 ± 0.0167,0.5412 ± 0.0147,0.5240 ± 0.0153,0.6914 ± 0.0115
xgboost,chi2,0.4204 ± 0.0204,0.4183 ± 0.0213,0.5300 ± 0.0215,0.4228 ± 0.0238,0.4235 ± 0.0201,0.6588 ± 0.0205,0.5024 ± 0.0206,0.5300 ± 0.0215,0.5124 ± 0.0199,0.6785 ± 0.0214,0.5291 ± 0.0184,0.4248 ± 0.0219,0.4248 ± 0.0199,0.6595 ± 0.0166,0.5019 ± 0.0201,0.5291 ± 0.0184,0.5123 ± 0.0193,0.6773 ± 0.0182
xgboost,chi2_mi_union_topk,0.4160 ± 0.0184,0.4194 ± 0.0237,0.5322 ± 0.0154,0.4231 ± 0.0266,0.4246 ± 0.0220,0.6546 ± 0.0123,0.5031 ± 0.0193,0.5322 ± 0.0154,0.5142 ± 0.0165,0.6762 ± 0.0147,0.5231 ± 0.0176,0.4184 ± 0.0193,0.4194 ± 0.0180,0.6556 ± 0.0158,0.4992 ± 0.0183,0.5231 ± 0.0176,0.5089 ± 0.0179,0.6744 ± 0.0173
adaboost,spearman_corr,0.4355 ± 0.0127,0.4431 ± 0.0199,0.5681 ± 0.0185,0.4610 ± 0.0270,0.4555 ± 0.0173,0.6911 ± 0.0247,0.5361 ± 0.0177,0.5681 ± 0.0185,0.5424 ± 0.0148,0.7138 ± 0.0238,0.5489 ± 0.0120,0.4440 ± 0.0147,0.4404 ± 0.0123,0.6840 ± 0.0143,0.5198 ± 0.0119,0.5489 ± 0.0120,0.5297 ± 0.0113,0.7033 ± 0.0125
adaboost,spearman_sulov,0.4463 ± 0.0210,0.4326 ± 0.0151,0.5601 ± 0.0119,0.4417 ± 0.0235,0.4440 ± 0.0115,0.6913 ± 0.0205,0.5245 ± 0.0122,0.5601 ± 0.0119,0.5352 ± 0.0090,0.7131 ± 0.0169,0.5571 ± 0.0151,0.4542 ± 0.0276,0.4511 ± 0.0195,0.6816 ± 0.0149,0.5306 ± 0.0205,0.5571 ± 0.0151,0.5396 ± 0.0163,0.7014 ± 0.0136
adaboost,mutual_info,0.4397 ± 0.0206,0.4303 ± 0.0386,0.5549 ± 0.0247,0.4405 ± 0.0478,0.4398 ± 0.0332,0.6905 ± 0.0238,0.5204 ± 0.0323,0.5549 ± 0.0247,0.5306 ± 0.0265,0.7127 ± 0.0214,0.5544 ± 0.0158,0.4466 ± 0.0246,0.4454 ± 0.0190,0.6792 ± 0.0119,0.5253 ± 0.0189,0.5544 ± 0.0158,0.5355 ± 0.0166,0.6985 ± 0.0115
adaboost,chi2,0.4416 ± 0.0134,0.4324 ± 0.0334,0.5608 ± 0.0226,0.4447 ± 0.0411,0.4436 ± 0.0289,0.6947 ± 0.0178,0.5233 ± 0.0296,0.5608 ± 0.0226,0.5338 ± 0.0246,0.7161 ± 0.0181,0.5542 ± 0.0094,0.4524 ± 0.0192,0.4468 ± 0.0123,0.6835 ± 0.0112,0.5264 ± 0.0136,0.5542 ± 0.0094,0.5349 ± 0.0101,0.7028 ± 0.0100
adaboost,chi2_mi_union_topk,0.4400 ± 0.0166,0.4440 ± 0.0300,0.5681 ± 0.0197,0.4664 ± 0.0385,0.4551 ± 0.0262,0.6974 ± 0.0163,0.5362 ± 0.0252,0.5681 ± 0.0197,0.5412 ± 0.0203,0.7170 ± 0.0166,0.5544 ± 0.0170,0.4491 ± 0.0184,0.4469 ± 0.0154,0.6868 ± 0.0136,0.5258 ± 0.0155,0.5544 ± 0.0170,0.5348 ± 0.0154,0.7055 ± 0.0134
svm,spearman_corr,0.4094 ± 0.0150,0.4068 ± 0.0144,0.5799 ± 0.0155,0.4266 ± 0.1114,0.4477 ± 0.0165,0.7015 ± 0.0194,0.5107 ± 0.0637,0.5799 ± 0.0155,0.5255 ± 0.0135,0.7229 ± 0.0203,0.5802 ± 0.0093,0.4046 ± 0.0434,0.4491 ± 0.0124,0.6932 ± 0.0115,0.4995 ± 0.0280,0.5802 ± 0.0093,0.5274 ± 0.0123,0.7123 ± 0.0119
svm,spearman_sulov,0.4109 ± 0.0195,0.4075 ± 0.0168,0.5828 ± 0.0156,0.4129 ± 0.1136,0.4503 ± 0.0189,0.7038 ± 0.0189,0.5046 ± 0.0687,0.5828 ± 0.0156,0.5272 ± 0.0148,0.7253 ± 0.0194,0.5799 ± 0.0125,0.4180 ± 0.0503,0.4501 ± 0.0162,0.6931 ± 0.0123,0.5072 ± 0.0306,0.5799 ± 0.0125,0.5280 ± 0.0149,0.7123 ± 0.0126
svm,mutual_info,0.4070 ± 0.0135,0.4132 ± 0.0283,0.5850 ± 0.0203,0.4543 ± 0.1372,0.4532 ± 0.0253,0.7000 ± 0.0201,0.5280 ± 0.0784,0.5850 ± 0.0203,0.5308 ± 0.0225,0.7206 ± 0.0203,0.5770 ± 0.0092,0.4130 ± 0.0392,0.4458 ± 0.0124,0.6913 ± 0.0121,0.5036 ± 0.0246,0.5770 ± 0.0092,0.5252 ± 0.0107,0.7106 ± 0.0122
svm,chi2,0.4069 ± 0.0152,0.4114 ± 0.0186,0.5850 ± 0.0216,0.4579 ± 0.1103,0.4521 ± 0.0205,0.7003 ± 0.0214,0.5290 ± 0.0622,0.5850 ± 0.0216,0.5295 ± 0.0189,0.7216 ± 0.0218,0.5786 ± 0.0122,0.4031 ± 0.0381,0.4462 ± 0.0139,0.6919 ± 0.0106,0.4981 ± 0.0234,0.5786 ± 0.0122,0.5257 ± 0.0133,0.7114 ± 0.0115
svm,chi2_mi_union_topk,0.4116 ± 0.0164,0.4143 ± 0.0280,0.5864 ± 0.0225,0.4375 ± 0.1166,0.4535 ± 0.0266,0.6940 ± 0.0193,0.5190 ± 0.0715,0.5864 ± 0.0225,0.5322 ± 0.0230,0.7144 ± 0.0195,0.5783 ± 0.0122,0.4198 ± 0.0420,0.4466 ± 0.0135,0.6862 ± 0.0131,0.5075 ± 0.0259,0.5783 ± 0.0122,0.5282 ± 0.0133,0.7059 ± 0.0136
logistic_regression,spearman_corr,0.4538 ± 0.0175,0.4555 ± 0.0311,0.5344 ± 0.0267,0.4568 ± 0.0314,0.4568 ± 0.0313,0.6480 ± 0.0262,0.5472 ± 0.0275,0.5344 ± 0.0267,0.5398 ± 0.0262,0.6815 ± 0.0251,0.5241 ± 0.0149,0.4564 ± 0.0173,0.4550 ± 0.0184,0.6462 ± 0.0155,0.5468 ± 0.0157,0.5241 ± 0.0149,0.5339 ± 0.0149,0.6764 ± 0.0148
logistic_regression,spearman_sulov,0.4504 ± 0.0209,0.4501 ± 0.0237,0.5267 ± 0.0227,0.4524 ± 0.0239,0.4507 ± 0.0244,0.6465 ± 0.0226,0.5432 ± 0.0245,0.5267 ± 0.0227,0.5337 ± 0.0225,0.6816 ± 0.0222,0.5193 ± 0.0204,0.4530 ± 0.0202,0.4513 ± 0.0215,0.6428 ± 0.0135,0.5431 ± 0.0194,0.5193 ± 0.0204,0.5297 ± 0.0199,0.6727 ± 0.0140
logistic_regression,mutual_info,0.4394 ± 0.0154,0.4395 ± 0.0269,0.5176 ± 0.0244,0.4415 ± 0.0275,0.4400 ± 0.0276,0.6463 ± 0.0221,0.5311 ± 0.0250,0.5176 ± 0.0244,0.5233 ± 0.0237,0.6774 ± 0.0225,0.5123 ± 0.0158,0.4422 ± 0.0155,0.4396 ± 0.0158,0.6405 ± 0.0140,0.5339 ± 0.0147,0.5123 ± 0.0158,0.5218 ± 0.0150,0.6712 ± 0.0144
logistic_regression,chi2,0.4423 ± 0.0220,0.4373 ± 0.0192,0.5147 ± 0.0199,0.4401 ± 0.0201,0.4379 ± 0.0196,0.6410 ± 0.0192,0.5304 ± 0.0198,0.5147 ± 0.0199,0.5212 ± 0.0191,0.6740 ± 0.0206,0.5134 ± 0.0196,0.4452 ± 0.0215,0.4434 ± 0.0228,0.6421 ± 0.0170,0.5363 ± 0.0194,0.5134 ± 0.0196,0.5232 ± 0.0192,0.6731 ± 0.0164
logistic_regression,chi2_mi_union_topk,0.4476 ± 0.0160,0.4384 ± 0.0316,0.5209 ± 0.0315,0.4418 ± 0.0314,0.4387 ± 0.0320,0.6580 ± 0.0204,0.5339 ± 0.0278,0.5209 ± 0.0315,0.5261 ± 0.0289,0.6895 ± 0.0186,0.5184 ± 0.0149,0.4504 ± 0.0158,0.4488 ± 0.0166,0.6542 ± 0.0158,0.5404 ± 0.0140,0.5184 ± 0.0149,0.5278 ± 0.0142,0.6839 ± 0.0159
knn,spearman_corr,0.4207 ± 0.0145,0.4080 ± 0.0235,0.5480 ± 0.0193,0.4406 ± 0.0321,0.4175 ± 0.0192,0.6452 ± 0.0159,0.5046 ± 0.0261,0.5480 ± 0.0193,0.5051 ± 0.0208,0.6719 ± 0.0158,0.5492 ± 0.0120,0.4539 ± 0.0179,0.4279 ± 0.0102,0.6582 ± 0.0137,0.5132 ± 0.0159,0.5492 ± 0.0120,0.5108 ± 0.0140,0.6801 ± 0.0128
knn,spearman_sulov,0.4141 ± 0.0105,0.4061 ± 0.0303,0.5436 ± 0.0247,0.4313 ± 0.0410,0.4150 ± 0.0258,0.6548 ± 0.0229,0.4999 ± 0.0355,0.5436 ± 0.0247,0.5041 ± 0.0263,0.6822 ± 0.0223,0.5445 ± 0.0072,0.4431 ± 0.0127,0.4217 ± 0.0079,0.6542 ± 0.0093,0.5058 ± 0.0123,0.5445 ± 0.0072,0.5064 ± 0.0102,0.6769 ± 0.0100
knn,mutual_info,0.4129 ± 0.0241,0.4177 ± 0.0303,0.5505 ± 0.0245,0.4438 ± 0.0361,0.4244 ± 0.0253,0.6622 ± 0.0206,0.5121 ± 0.0341,0.5505 ± 0.0245,0.5148 ± 0.0293,0.6886 ± 0.0206,0.5437 ± 0.0185,0.4361 ± 0.0273,0.4197 ± 0.0210,0.6571 ± 0.0106,0.5055 ± 0.0233,0.5437 ± 0.0185,0.5091 ± 0.0210,0.6803 ± 0.0099
knn,chi2,0.4185 ± 0.0201,0.4168 ± 0.0251,0.5546 ± 0.0178,0.4451 ± 0.0325,0.4241 ± 0.0212,0.6662 ± 0.0164,0.5134 ± 0.0273,0.5546 ± 0.0178,0.5158 ± 0.0201,0.6946 ± 0.0164,0.5467 ± 0.0128,0.4453 ± 0.0221,0.4254 ± 0.0164,0.6581 ± 0.0089,0.5103 ± 0.0186,0.5467 ± 0.0128,0.5112 ± 0.0162,0.6799 ± 0.0088
knn,chi2_mi_union_topk,0.4095 ± 0.0249,0.4261 ± 0.0327,0.5505 ± 0.0285,0.4495 ± 0.0413,0.4294 ± 0.0291,0.6665 ± 0.0213,0.5145 ± 0.0345,0.5505 ± 0.0285,0.5191 ± 0.0289,0.6908 ± 0.0218,0.5382 ± 0.0170,0.4301 ± 0.0278,0.4160 ± 0.0209,0.6478 ± 0.0115,0.5001 ± 0.0227,0.5382 ± 0.0170,0.5051 ± 0.0202,0.6721 ± 0.0114
gaussian_nb,spearman_corr,0.4512 ± 0.0161,0.4538 ± 0.0285,0.5527 ± 0.0268,0.4707 ± 0.0342,0.4707 ± 0.0285,0.7071 ± 0.0178,0.5576 ± 0.0301,0.5527 ± 0.0268,0.5431 ± 0.0235,0.7257 ± 0.0191,0.5366 ± 0.0162,0.4677 ± 0.0211,0.4652 ± 0.0184,0.6844 ± 0.0095,0.5521 ± 0.0197,0.5366 ± 0.0162,0.5338 ± 0.0132,0.7053 ± 0.0094
gaussian_nb,spearman_sulov,0.4529 ± 0.0150,0.4455 ± 0.0251,0.5480 ± 0.0307,0.4734 ± 0.0440,0.4639 ± 0.0265,0.7073 ± 0.0171,0.5580 ± 0.0376,0.5480 ± 0.0307,0.5371 ± 0.0250,0.7252 ± 0.0185,0.5379 ± 0.0187,0.4694 ± 0.0208,0.4682 ± 0.0161,0.6871 ± 0.0091,0.5545 ± 0.0206,0.5379 ± 0.0187,0.5351 ± 0.0143,0.7059 ± 0.0098
gaussian_nb,mutual_info,0.4661 ± 0.0129,0.4623 ± 0.0224,0.5670 ± 0.0240,0.4792 ± 0.0301,0.4750 ± 0.0235,0.7112 ± 0.0158,0.5632 ± 0.0266,0.5670 ± 0.0240,0.5545 ± 0.0205,0.7255 ± 0.0170,0.5494 ± 0.0100,0.4743 ± 0.0139,0.4738 ± 0.0129,0.6927 ± 0.0064,0.5568 ± 0.0115,0.5494 ± 0.0100,0.5474 ± 0.0101,0.7083 ± 0.0066
gaussian_nb,chi2,0.4625 ± 0.0190,0.4616 ± 0.0376,0.5623 ± 0.0320,0.4704 ± 0.0398,0.4668 ± 0.0356,0.7113 ± 0.0190,0.5499 ± 0.0313,0.5623 ± 0.0320,0.5504 ± 0.0309,0.7231 ± 0.0190,0.5519 ± 0.0122,0.4668 ± 0.0192,0.4659 ± 0.0180,0.6927 ± 0.0079,0.5484 ± 0.0127,0.5519 ± 0.0122,0.5472 ± 0.0125,0.7062 ± 0.0067
gaussian_nb,chi2_mi_union_topk,0.4781 ± 0.0192,0.4769 ± 0.0294,0.5766 ± 0.0227,0.4878 ± 0.0313,0.4836 ± 0.0298,0.7192 ± 0.0151,0.5699 ± 0.0245,0.5766 ± 0.0227,0.5665 ± 0.0217,0.7320 ± 0.0153,0.5627 ± 0.0146,0.4833 ± 0.0181,0.4824 ± 0.0162,0.7042 ± 0.0088,0.5633 ± 0.0154,0.5627 ± 0.0146,0.5595 ± 0.0165,0.7175 ± 0.0089
