exp_id,seed,fold,reserved_per_class,hidden_dims,dropout,bin_lr,head_lr,ft_lr,weight_decay,scaler_strategy,use_transfer,transfer_mode,phase1_freeze,phase2_finetune,use_class_weights,multiclass_weights,selection_score,val_loss_final,val_acc_final,val_balanced_acc_final,val_f1_macro_final,val_f1_weighted_final,val_precision_macro_final,val_recall_0_final,val_recall_1_final,val_recall_2_final,val_precision_0_final,val_precision_1_final,val_precision_2_final,test_loss,test_acc,test_balanced_acc,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_0,test_recall_1,test_recall_2,test_precision_0,test_precision_1,test_precision_2,bin_val_loss,bin_val_acc,bin_val_f1,bin_val_balanced_acc,n_splits_cv,val_accuracy,val_balanced_accuracy,val_precision_macro,val_precision_weighted,val_precision_class_0,val_precision_class_1,val_precision_class_2,val_recall_macro,val_recall_weighted,val_recall_class_0,val_recall_class_1,val_recall_class_2,val_f1_macro,val_f1_weighted,val_f1_class_0,val_f1_class_1,val_f1_class_2,test_accuracy,test_balanced_accuracy,test_precision_weighted,test_precision_class_0,test_precision_class_1,test_precision_class_2,test_recall_macro,test_recall_weighted,test_recall_class_0,test_recall_class_1,test_recall_class_2,test_f1_class_0,test_f1_class_1,test_f1_class_2
FINAL_SELECTED_MODEL,42,3,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.8343915343915344,0.42799234275634473,0.8461538461538461,0.8379629629629629,0.8343915343915344,0.8390109890109889,0.8468013468013469,1.0,0.625,0.8888888888888888,0.8181818181818182,0.8333333333333334,0.8888888888888888,0.5053282671196516,0.813953488372093,0.8126984126984128,0.8144257703081234,0.8132694938440492,0.837593984962406,0.9285714285714286,0.8666666666666667,0.6428571428571429,0.9285714285714286,0.6842105263157895,0.9,0.17132803342128927,0.9391891891891891,0.9426751592356688,0.9418647503224618,5,0.8461538461538461,0.8379629629629629,0.8468013468013469,0.8473193473193473,0.8181818181818182,0.8333333333333334,0.8888888888888888,0.8379629629629629,0.8461538461538461,1.0,0.625,0.8888888888888888,0.8343915343915344,0.8390109890109889,0.9,0.7142857142857143,0.8888888888888888,0.813953488372093,0.8126984126984128,0.8340269277845778,0.9285714285714286,0.6842105263157895,0.9,0.8126984126984128,0.813953488372093,0.9285714285714286,0.8666666666666667,0.6428571428571429,0.9285714285714286,0.7647058823529411,0.75
FINAL_SELECTED_MODEL,42,4,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.8444272445820434,0.27406200078817516,0.8461538461538461,0.8425925925925926,0.8444272445820434,0.8480590616813527,0.85,0.8888888888888888,0.75,0.8888888888888888,1.0,0.75,0.8,0.48989702483942343,0.7441860465116279,0.7507936507936508,0.7355172413793104,0.7314354450681637,0.7444444444444445,0.9285714285714286,0.4666666666666667,0.8571428571428571,0.8666666666666667,0.7,0.6666666666666666,0.17132803342128927,0.9391891891891891,0.9426751592356688,0.9418647503224618,5,0.8461538461538461,0.8425925925925926,0.85,0.8538461538461538,1.0,0.75,0.8,0.8425925925925926,0.8461538461538461,0.8888888888888888,0.75,0.8888888888888888,0.8444272445820434,0.8480590616813527,0.9411764705882353,0.75,0.8421052631578947,0.7441860465116279,0.7507936507936508,0.7434108527131783,0.8666666666666667,0.7,0.6666666666666666,0.7507936507936508,0.7441860465116279,0.9285714285714286,0.4666666666666667,0.8571428571428571,0.896551724137931,0.56,0.75
FINAL_SELECTED_MODEL,42,5,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.8343915343915344,0.5679490749652569,0.8461538461538461,0.8518518518518517,0.8343915343915344,0.8322954822954822,0.8727272727272727,1.0,0.5555555555555556,1.0,0.8181818181818182,1.0,0.8,0.43513863932254704,0.8604651162790697,0.8587301587301587,0.8578431372549019,0.8570451436388509,0.8789473684210526,1.0,0.6428571428571429,0.9333333333333333,1.0,0.9,0.7368421052631579,0.17132803342128927,0.9391891891891891,0.9426751592356688,0.9418647503224618,5,0.8461538461538461,0.8518518518518517,0.8727272727272727,0.8755244755244755,0.8181818181818182,1.0,0.8,0.8518518518518517,0.8461538461538461,1.0,0.5555555555555556,1.0,0.8343915343915344,0.8322954822954822,0.9,0.7142857142857143,0.8888888888888888,0.8604651162790697,0.8587301587301587,0.8756425948592412,1.0,0.9,0.7368421052631579,0.8587301587301587,0.8604651162790697,1.0,0.6428571428571429,0.9333333333333333,1.0,0.75,0.8235294117647058
FINAL_SELECTED_MODEL,128,1,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.9211816305469557,0.44499743901766264,0.9230769230769231,0.9259259259259259,0.9211816305469557,0.9204125982376756,0.9296296296296296,1.0,0.7777777777777778,1.0,0.8888888888888888,1.0,0.9,0.3498820581219413,0.8636363636363636,0.8603174603174604,0.860576923076923,0.8626529720279721,0.8660130718954249,1.0,0.7142857142857143,0.8666666666666667,1.0,0.8333333333333334,0.7647058823529411,0.2604094123518145,0.9121621621621622,0.9182389937106918,0.9133038511147964,5,0.9230769230769231,0.9259259259259259,0.9296296296296296,0.9311965811965811,0.8888888888888888,1.0,0.9,0.9259259259259259,0.9230769230769231,1.0,0.7777777777777778,1.0,0.9211816305469557,0.9204125982376756,0.9411764705882353,0.875,0.9473684210526315,0.8636363636363636,0.8603174603174604,0.8667557932263815,1.0,0.8333333333333334,0.7647058823529411,0.8603174603174604,0.8636363636363636,1.0,0.7142857142857143,0.8666666666666667,1.0,0.7692307692307693,0.8125
FINAL_SELECTED_MODEL,128,2,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.8444272445820434,0.4658847050024913,0.8461538461538461,0.8518518518518517,0.8444272445820434,0.8407061205048821,0.8486772486772486,1.0,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8,0.6083636034366696,0.813953488372093,0.811111111111111,0.8118131868131869,0.8132826475849732,0.8181605975723621,0.9333333333333333,0.7142857142857143,0.7857142857142857,0.8235294117647058,0.7142857142857143,0.9166666666666666,0.2604094123518145,0.9121621621621622,0.9182389937106918,0.9133038511147964,5,0.8461538461538461,0.8518518518518517,0.8486772486772486,0.8471306471306471,0.8888888888888888,0.8571428571428571,0.8,0.8518518518518517,0.8461538461538461,1.0,0.6666666666666666,0.8888888888888888,0.8444272445820434,0.8407061205048821,0.9411764705882353,0.75,0.8421052631578947,0.813953488372093,0.811111111111111,0.8182854537163703,0.8235294117647058,0.7142857142857143,0.9166666666666666,0.811111111111111,0.813953488372093,0.9333333333333333,0.7142857142857143,0.7857142857142857,0.875,0.7142857142857143,0.8461538461538461
FINAL_SELECTED_MODEL,128,3,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.8845315904139434,0.3244785666465759,0.8846153846153846,0.8842592592592592,0.8845315904139434,0.8868778280542986,0.8888888888888888,0.8888888888888888,0.875,0.8888888888888888,0.8888888888888888,0.7777777777777778,1.0,0.5296814781288768,0.8604651162790697,0.8634920634920635,0.8587301587301588,0.8570321151716501,0.8594322344322345,1.0,0.7333333333333333,0.8571428571428571,0.875,0.8461538461538461,0.8571428571428571,0.2604094123518145,0.9121621621621622,0.9182389937106918,0.9133038511147964,5,0.8846153846153846,0.8842592592592592,0.8888888888888888,0.8931623931623931,0.8888888888888888,0.7777777777777778,1.0,0.8842592592592592,0.8846153846153846,0.8888888888888888,0.875,0.8888888888888888,0.8845315904139434,0.8868778280542986,0.8888888888888888,0.8235294117647058,0.9411764705882353,0.8604651162790697,0.8634920634920635,0.8591234347048301,0.875,0.8461538461538461,0.8571428571428571,0.8634920634920635,0.8604651162790697,1.0,0.7333333333333333,0.8571428571428571,0.9333333333333333,0.7857142857142857,0.8571428571428571
FINAL_SELECTED_MODEL,128,4,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.8845315904139434,0.3674430434520428,0.8846153846153846,0.8842592592592592,0.8845315904139434,0.8868778280542986,0.8888888888888888,0.8888888888888888,0.875,0.8888888888888888,1.0,0.7777777777777778,0.8888888888888888,0.4134782053703486,0.813953488372093,0.8206349206349207,0.8041666666666667,0.800968992248062,0.8287037037037037,1.0,0.5333333333333333,0.9285714285714286,0.875,0.8888888888888888,0.7222222222222222,0.2604094123518145,0.9121621621621622,0.9182389937106918,0.9133038511147964,5,0.8846153846153846,0.8842592592592592,0.8888888888888888,0.8931623931623931,1.0,0.7777777777777778,0.8888888888888888,0.8842592592592592,0.8846153846153846,0.8888888888888888,0.875,0.8888888888888888,0.8845315904139434,0.8868778280542986,0.9411764705882353,0.8235294117647058,0.8888888888888888,0.813953488372093,0.8206349206349207,0.8301033591731266,0.875,0.8888888888888888,0.7222222222222222,0.8206349206349207,0.813953488372093,1.0,0.5333333333333333,0.9285714285714286,0.9333333333333333,0.6666666666666666,0.8125
FINAL_SELECTED_MODEL,128,5,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.9212962962962963,0.23933003498957708,0.9230769230769231,0.9212962962962963,0.9212962962962963,0.9230769230769231,0.9212962962962963,1.0,0.8888888888888888,0.875,1.0,0.8888888888888888,0.875,0.3195798639641252,0.9069767441860465,0.9063492063492063,0.9077772088524777,0.9076713622850157,0.9107142857142857,0.9285714285714286,0.8571428571428571,0.9333333333333333,1.0,0.8571428571428571,0.875,0.2604094123518145,0.9121621621621622,0.9182389937106918,0.9133038511147964,5,0.9230769230769231,0.9212962962962963,0.9212962962962963,0.9230769230769231,1.0,0.8888888888888888,0.875,0.9212962962962963,0.9230769230769231,1.0,0.8888888888888888,0.875,0.9212962962962963,0.9230769230769231,1.0,0.8888888888888888,0.875,0.9069767441860465,0.9063492063492063,0.9098837209302325,1.0,0.8571428571428571,0.875,0.9063492063492063,0.9069767441860465,0.9285714285714286,0.8571428571428571,0.9333333333333333,0.9629629629629629,0.8571428571428571,0.9032258064516129
FINAL_SELECTED_MODEL,777,1,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.6735930735930736,0.4865682285565596,0.7307692307692307,0.7407407407407408,0.6735930735930736,0.6687312687312688,0.8055555555555555,1.0,0.2222222222222222,1.0,0.6666666666666666,1.0,0.75,0.32593115351416846,0.8863636363636364,0.8825396825396825,0.8808080808080808,0.8826446280991737,0.8919191919191919,0.9333333333333333,0.7142857142857143,1.0,0.9333333333333333,0.9090909090909091,0.8333333333333334,0.2566463921338672,0.9054054054054054,0.9102564102564102,0.908420858669615,5,0.7307692307692307,0.7407407407407408,0.8055555555555555,0.8108974358974359,0.6666666666666666,1.0,0.75,0.7407407407407408,0.7307692307692307,1.0,0.2222222222222222,1.0,0.6735930735930736,0.6687312687312688,0.8,0.36363636363636365,0.8571428571428571,0.8863636363636364,0.8825396825396825,0.8915289256198347,0.9333333333333333,0.9090909090909091,0.8333333333333334,0.8825396825396825,0.8863636363636364,0.9333333333333333,0.7142857142857143,1.0,0.9333333333333333,0.8,0.9090909090909091
FINAL_SELECTED_MODEL,777,2,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.9628482972136222,0.29483848122450024,0.9615384615384616,0.9629629629629629,0.9628482972136222,0.9614193855679923,0.9666666666666667,1.0,1.0,0.8888888888888888,1.0,0.9,1.0,0.3908261660226556,0.7906976744186046,0.7904761904761904,0.7914614121510674,0.7923015236567763,0.7936507936507936,0.8,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.2566463921338672,0.9054054054054054,0.9102564102564102,0.908420858669615,5,0.9615384615384616,0.9629629629629629,0.9666666666666667,0.9653846153846154,1.0,0.9,1.0,0.9629629629629629,0.9615384615384616,1.0,1.0,0.8888888888888888,0.9628482972136222,0.9614193855679923,1.0,0.9473684210526315,0.9411764705882353,0.7906976744186046,0.7904761904761904,0.7951273532668881,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.7904761904761904,0.7906976744186046,0.8,0.7142857142857143,0.8571428571428571,0.8275862068965517,0.6896551724137931,0.8571428571428571
FINAL_SELECTED_MODEL,777,3,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.8845315904139434,0.35605453986387986,0.8846153846153846,0.8842592592592592,0.8845315904139434,0.8868778280542986,0.8888888888888888,0.8888888888888888,0.875,0.8888888888888888,0.8888888888888888,0.7777777777777778,1.0,0.5066978113595829,0.813953488372093,0.8174603174603173,0.8107754451840473,0.8085314979538536,0.8129713423831072,1.0,0.6666666666666666,0.7857142857142857,0.8235294117647058,0.7692307692307693,0.8461538461538461,0.2566463921338672,0.9054054054054054,0.9102564102564102,0.908420858669615,5,0.8846153846153846,0.8842592592592592,0.8888888888888888,0.8931623931623931,0.8888888888888888,0.7777777777777778,1.0,0.8842592592592592,0.8846153846153846,0.8888888888888888,0.875,0.8888888888888888,0.8845315904139434,0.8868778280542986,0.8888888888888888,0.8235294117647058,0.9411764705882353,0.813953488372093,0.8174603174603173,0.8119541197516574,0.8235294117647058,0.7692307692307693,0.8461538461538461,0.8174603174603173,0.813953488372093,1.0,0.6666666666666666,0.7857142857142857,0.9032258064516129,0.7142857142857143,0.8148148148148148
FINAL_SELECTED_MODEL,777,4,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.9607843137254902,0.09928465634584427,0.9615384615384616,0.9629629629629629,0.9607843137254902,0.9615384615384616,0.9629629629629629,1.0,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,0.4469353489057962,0.8372093023255814,0.8412698412698413,0.8346530438484461,0.8324690367994297,0.8375,0.9285714285714286,0.6666666666666666,0.9285714285714286,0.8125,0.8333333333333334,0.8666666666666667,0.2566463921338672,0.9054054054054054,0.9102564102564102,0.908420858669615,5,0.9615384615384616,0.9629629629629629,0.9629629629629629,0.9658119658119658,1.0,0.8888888888888888,1.0,0.9629629629629629,0.9615384615384616,1.0,1.0,0.8888888888888888,0.9607843137254902,0.9615384615384616,1.0,0.9411764705882353,0.9411764705882353,0.8372093023255814,0.8412698412698413,0.8374031007751938,0.8125,0.8333333333333334,0.8666666666666667,0.8412698412698413,0.8372093023255814,0.9285714285714286,0.6666666666666666,0.9285714285714286,0.8666666666666667,0.7407407407407407,0.896551724137931
FINAL_SELECTED_MODEL,777,5,72,"(384, 64)",0.3,0.001,0.001,0.0003,0.0001,binary_train,True,all,True,True,True,"(1.0, 1.5, 1.0)",0.7294117647058824,0.751672449020239,0.7307692307692307,0.7314814814814815,0.7294117647058824,0.7266968325791855,0.7364718614718614,0.8888888888888888,0.5555555555555556,0.75,0.7272727272727273,0.625,0.8571428571428571,0.38509809069855266,0.8837209302325582,0.8857142857142858,0.8850574712643677,0.8837209302325582,0.8857142857142857,1.0,0.8571428571428571,0.8,1.0,0.8,0.8571428571428571,0.2566463921338672,0.9054054054054054,0.9102564102564102,0.908420858669615,5,0.7307692307692307,0.7314814814814815,0.7364718614718614,0.7318306693306694,0.7272727272727273,0.625,0.8571428571428571,0.7314814814814815,0.7307692307692307,0.8888888888888888,0.5555555555555556,0.75,0.7294117647058824,0.7266968325791855,0.8,0.5882352941176471,0.8,0.8837209302325582,0.8857142857142858,0.8850498338870432,1.0,0.8,0.8571428571428571,0.8857142857142858,0.8837209302325582,1.0,0.8571428571428571,0.8,1.0,0.8275862068965517,0.8275862068965517
