model,target_type,classes,n_classes,accuracy_cv_mean,accuracy_cv_std,accuracy_train_mean,accuracy_train_std,accuracy_test_mean,accuracy_test_std,f1_cv_mean,f1_cv_std,f1_train_mean,f1_train_std,f1_test_mean,f1_test_std,recall_cv_mean,recall_cv_std,recall_train_mean,recall_train_std,recall_test_mean,recall_test_std,precision_cv_mean,precision_cv_std,precision_train_mean,precision_train_std,precision_test_mean,precision_test_std,misclassification_cost_mean_cv_mean,misclassification_cost_mean_cv_std,misclassification_cost_mean_train_mean,misclassification_cost_mean_train_std,misclassification_cost_mean_test_mean,misclassification_cost_mean_test_std,misclassification_cost_total_cv_mean,misclassification_cost_total_cv_std,misclassification_cost_total_train_mean,misclassification_cost_total_train_std,misclassification_cost_total_test_mean,misclassification_cost_total_test_std,misclassification_score_cv_mean,misclassification_score_cv_std,misclassification_score_train_mean,misclassification_score_train_std,misclassification_score_test_mean,misclassification_score_test_std,misclassification_cost_mean_true_class_0_cv_mean,misclassification_cost_mean_true_class_0_cv_std,misclassification_cost_mean_true_class_0_train_mean,misclassification_cost_mean_true_class_0_train_std,misclassification_cost_mean_true_class_0_test_mean,misclassification_cost_mean_true_class_0_test_std,misclassification_cost_mean_true_class_1_cv_mean,misclassification_cost_mean_true_class_1_cv_std,misclassification_cost_mean_true_class_1_train_mean,misclassification_cost_mean_true_class_1_train_std,misclassification_cost_mean_true_class_1_test_mean,misclassification_cost_mean_true_class_1_test_std,auc_cv_mean,auc_cv_std,auc_train_mean,auc_train_std,auc_test_mean,auc_test_std,precision_class_0_cv_mean,precision_class_0_cv_std,precision_class_0_train_mean,precision_class_0_train_std,precision_class_0_test_mean,precision_class_0_test_std,recall_class_0_cv_mean,recall_class_0_cv_std,recall_class_0_train_mean,recall_class_0_train_std,recall_class_0_test_mean,recall_class_0_test_std,f1_class_0_cv_mean,f1_class_0_cv_std,f1_class_0_train_mean,f1_class_0_train_std,f1_class_0_test_mean,f1_class_0_test_std,support_class_0_cv_mean,support_class_0_cv_std,support_class_0_train_mean,support_class_0_train_std,support_class_0_test_mean,support_class_0_test_std,precision_class_1_cv_mean,precision_class_1_cv_std,precision_class_1_train_mean,precision_class_1_train_std,precision_class_1_test_mean,precision_class_1_test_std,recall_class_1_cv_mean,recall_class_1_cv_std,recall_class_1_train_mean,recall_class_1_train_std,recall_class_1_test_mean,recall_class_1_test_std,f1_class_1_cv_mean,f1_class_1_cv_std,f1_class_1_train_mean,f1_class_1_train_std,f1_class_1_test_mean,f1_class_1_test_std,support_class_1_cv_mean,support_class_1_cv_std,support_class_1_train_mean,support_class_1_train_std,support_class_1_test_mean,support_class_1_test_std,tn_cv_mean,tn_cv_std,tn_train_mean,tn_train_std,tn_test_mean,tn_test_std,fp_cv_mean,fp_cv_std,fp_train_mean,fp_train_std,fp_test_mean,fp_test_std,fn_cv_mean,fn_cv_std,fn_train_mean,fn_train_std,fn_test_mean,fn_test_std,tp_cv_mean,tp_cv_std,tp_train_mean,tp_train_std,tp_test_mean,tp_test_std,specificity_cv_mean,specificity_cv_std,specificity_train_mean,specificity_train_std,specificity_test_mean,specificity_test_std,npv_cv_mean,npv_cv_std,npv_train_mean,npv_train_std,npv_test_mean,npv_test_std,fpr_cv_mean,fpr_cv_std,fpr_train_mean,fpr_train_std,fpr_test_mean,fpr_test_std,fnr_cv_mean,fnr_cv_std,fnr_train_mean,fnr_train_std,fnr_test_mean,fnr_test_std,Target,OVR_Label,X_Processing,Scaler
decision_tree,binary,"[0, 1]",2,0.8435602094240838,0.0077176555650013,1.0,0.0,0.832967032967033,0.029567396078467,0.8509108918448367,0.0073072102258721,1.0,0.0,0.8419454280496392,0.0273233575684622,0.8536000000000001,0.0102653678832167,1.0,0.0,0.848951048951049,0.0316536040965369,0.8494567688585279,0.0094193617971685,1.0,0.0,0.8357877849687053,0.0337732800938972,0.4630366492146597,0.0271536628518578,0.0,0.0,0.4835164835164834,0.0898245380109866,88.44,5.186349604704855,0.0,0.0,132.0,24.52209887699936,-0.4630366492146597,0.0271536628518578,0.0,0.0,-0.4835164835164834,0.0898245380109866,0.1674725274725275,0.0123373095589865,0.0,0.0,0.1846153846153846,0.0445593517871353,0.732,0.0513268394160837,0.0,0.0,0.7552447552447552,0.1582680204826849,0.8430637362637363,0.0077790720751402,1.0,0.0,0.8321678321678322,0.0299381837682882,0.8393696530161604,0.0098008142817305,1.0,0.0,0.8311033972307431,0.0313124754486354,0.8325274725274724,0.0123373095589865,1.0,0.0,0.8153846153846154,0.0445593517871353,0.8351732266438731,0.0084417728173482,1.0,0.0,0.8226864244697805,0.0331078420930272,91.0,0.0,303.0,0.0,130.0,0.0,0.8494567688585279,0.0094193617971685,1.0,0.0,0.8357877849687053,0.0337732800938972,0.8536000000000001,0.0102653678832167,1.0,0.0,0.848951048951049,0.0316536040965369,0.8509108918448367,0.0073072102258721,1.0,0.0,0.8419454280496392,0.0273233575684622,100.0,0.0,333.0,0.0,143.0,0.0,75.76,1.1226951698677814,303.0,0.0,106.0,5.792715732327589,15.24,1.1226951698677805,0.0,0.0,24.0,5.792715732327589,14.64,1.0265367883216738,0.0,0.0,21.6,4.526465385804789,85.36,1.0265367883216752,333.0,0.0,121.4,4.526465385804788,0.8325274725274724,0.0123373095589865,1.0,0.0,0.8153846153846154,0.0445593517871353,0.8393696530161604,0.0098008142817305,1.0,0.0,0.8311033972307431,0.0313124754486354,0.1674725274725275,0.0123373095589865,0.0,0.0,0.1846153846153846,0.0445593517871353,0.1464,0.0102653678832167,0.0,0.0,0.151048951048951,0.0316536040965369,HY3,y_1_vs_rest,X_STATS,No_scaler
random_forest,binary,"[0, 1]",2,0.9037696335078534,0.0065801241154753,1.0,0.0,0.895970695970696,0.018290581988839,0.9083069705732646,0.0060975660828973,1.0,0.0,0.9000333061223813,0.017249790806133,0.9099,0.0057047738293857,1.0,0.0,0.8937062937062938,0.0188796799359595,0.907261387275384,0.0090638097381905,1.0,0.0,0.906718302799727,0.0225400975855187,0.2849214659685863,0.0170043816072384,0.0,0.0,0.3267399267399267,0.0548717459665172,54.42,3.2478368869825416,0.0,0.0,89.2,14.979986648859205,-0.2849214659685863,0.0170043816072384,0.0,0.0,-0.3267399267399267,0.0548717459665172,0.1029670329670329,0.0107925043175892,0.0,0.0,0.1015384615384615,0.0260984833846143,0.4505,0.0285238691469287,0.0,0.0,0.5314685314685315,0.0943983996797976,0.9546423076923078,0.0049215323390802,1.0,3.7007434154171876e-17,0.9516998386229156,0.0143119685997958,0.9010175378996412,0.0059427540332431,1.0,0.0,0.8849886237129244,0.0194540389247116,0.8970329670329672,0.0107925043175892,1.0,0.0,0.8984615384615384,0.0260984833846143,0.8986866045361476,0.0071773512933493,1.0,0.0,0.8915304296405433,0.0195385957871221,91.0,0.0,303.0,0.0,130.0,0.0,0.907261387275384,0.0090638097381905,1.0,0.0,0.906718302799727,0.0225400975855187,0.9099,0.0057047738293857,1.0,0.0,0.8937062937062938,0.0188796799359595,0.9083069705732646,0.0060975660828973,1.0,0.0,0.9000333061223813,0.017249790806133,100.0,0.0,333.0,0.0,143.0,0.0,81.63,0.9821178929006188,303.0,0.0,116.8,3.3928028399998595,9.37,0.9821178929006208,0.0,0.0,13.2,3.3928028399998595,9.010000000000002,0.5704773829385742,0.0,0.0,15.2,2.699794230842212,90.99,0.5704773829385721,333.0,0.0,127.8,2.6997942308422123,0.8970329670329672,0.0107925043175892,1.0,0.0,0.8984615384615384,0.0260984833846143,0.9010175378996412,0.0059427540332431,1.0,0.0,0.8849886237129244,0.0194540389247116,0.1029670329670329,0.0107925043175892,0.0,0.0,0.1015384615384615,0.0260984833846143,0.0900999999999999,0.0057047738293857,0.0,0.0,0.1062937062937063,0.0188796799359595,HY3,y_1_vs_rest,X_STATS,No_scaler
extra_trees,binary,"[0, 1]",2,0.9021465968586388,0.005313269185955,1.0,0.0,0.891941391941392,0.0167637731596409,0.9071961775463064,0.004830142084087,1.0,0.0,0.8969215261404855,0.0156557955273841,0.9133,0.0039735234853828,1.0,0.0,0.8972027972027972,0.0174591918984373,0.9017786605324692,0.0082226194192843,1.0,0.0,0.8968889115264422,0.0208839703554237,0.2794240837696335,0.0117721516686569,0.0,0.0,0.3234432234432234,0.0501963685284932,53.370000000000005,2.24848096871347,0.0,0.0,88.3,13.703608608278657,-0.2794240837696335,0.0117721516686569,0.0,0.0,-0.3234432234432234,0.0501963685284932,0.1101098901098901,0.0099077308769548,0.0,0.0,0.1138461538461538,0.0248069469178416,0.4335,0.0198676174269141,0.0,0.0,0.513986013986014,0.0872959594921865,0.955062087912088,0.0052269432568396,1.0,0.0,0.9526654115115653,0.0123635244725425,0.9038524161159488,0.0041775859771499,1.0,0.0,0.8869776853926403,0.0181804521240817,0.88989010989011,0.0099077308769547,1.0,0.0,0.8861538461538462,0.0248069469178416,0.8964299826008032,0.0059133055336536,1.0,0.0,0.8864216406308394,0.0181190119507736,91.0,0.0,303.0,0.0,130.0,0.0,0.9017786605324692,0.0082226194192843,1.0,0.0,0.8968889115264422,0.0208839703554237,0.9133,0.0039735234853828,1.0,0.0,0.8972027972027972,0.0174591918984373,0.9071961775463064,0.004830142084087,1.0,0.0,0.8969215261404855,0.0156557955273841,100.0,0.0,333.0,0.0,143.0,0.0,80.97999999999999,0.9016035098028896,303.0,0.0,115.2,3.22490309931942,10.02,0.9016035098028894,0.0,0.0,14.8,3.22490309931942,8.67,0.3973523485382826,0.0,0.0,14.7,2.496664441476534,91.33,0.39735234853828,333.0,0.0,128.3,2.496664441476534,0.88989010989011,0.0099077308769547,1.0,0.0,0.8861538461538462,0.0248069469178416,0.9038524161159488,0.0041775859771499,1.0,0.0,0.8869776853926403,0.0181804521240817,0.1101098901098901,0.0099077308769548,0.0,0.0,0.1138461538461538,0.0248069469178416,0.0866999999999999,0.0039735234853828,0.0,0.0,0.1027972027972028,0.0174591918984373,HY3,y_1_vs_rest,X_STATS,No_scaler
xgboost,binary,"[0, 1]",2,0.8974345549738219,0.0128990285316407,1.0,0.0,0.8868131868131869,0.0230669074013813,0.902190595408495,0.0119126026025008,1.0,0.0,0.8919405737565592,0.0203550405891663,0.9031,0.0083990740230364,1.0,0.0,0.8895104895104895,0.0202676597848803,0.9020685697993358,0.0163359198234136,1.0,0.0,0.895381576543025,0.0372018084401711,0.3054973821989529,0.029893662931396,0.0,0.0,0.3446886446886447,0.054233625099833,58.35,5.709689619896649,0.0,0.0,94.1,14.805779652254424,-0.3054973821989529,0.029893662931396,0.0,0.0,-0.3446886446886447,0.054233625099833,0.1087912087912087,0.0189203979049742,0.0,0.0,0.1161538461538461,0.0466427101089938,0.4845,0.0419953701151818,0.0,0.0,0.5524475524475523,0.1013382989244016,0.950724175824176,0.0056527053103452,1.0,0.0,0.9480688542227004,0.0129618434594948,0.8939211636342274,0.0100043108276256,1.0,0.0,0.879359820200072,0.0189071546908688,0.8912087912087914,0.0189203979049743,1.0,0.0,0.883846153846154,0.0466427101089938,0.8920851425246223,0.0140502679647754,1.0,0.0,0.8810085094532927,0.0266472755264962,91.0,0.0,303.0,0.0,130.0,0.0,0.9020685697993358,0.0163359198234136,1.0,0.0,0.895381576543025,0.0372018084401711,0.9031,0.0083990740230364,1.0,0.0,0.8895104895104895,0.0202676597848803,0.902190595408495,0.0119126026025008,1.0,0.0,0.8919405737565592,0.0203550405891663,100.0,0.0,333.0,0.0,143.0,0.0,81.1,1.721756209352661,303.0,0.0,114.9,6.0635523141692005,9.9,1.7217562093526613,0.0,0.0,15.1,6.0635523141692005,9.69,0.8399074023036373,0.0,0.0,15.8,2.898275349237888,90.31,0.839907402303638,333.0,0.0,127.2,2.898275349237888,0.8912087912087914,0.0189203979049743,1.0,0.0,0.883846153846154,0.0466427101089938,0.8939211636342274,0.0100043108276256,1.0,0.0,0.879359820200072,0.0189071546908688,0.1087912087912087,0.0189203979049742,0.0,0.0,0.1161538461538461,0.0466427101089938,0.0969,0.0083990740230363,0.0,0.0,0.1104895104895105,0.0202676597848803,HY3,y_1_vs_rest,X_V06_STATS,No_scaler
adaboost,binary,"[0, 1]",2,0.890628272251309,0.0131376640630024,0.9268867924528305,0.0111488717956932,0.8831501831501832,0.0269976595772025,0.8950120750888189,0.0126163652919038,0.9296054269589884,0.0104878249583938,0.8869852589336983,0.0271394250249949,0.8909,0.0138920440860548,0.9216216216216216,0.0090034461748824,0.8769230769230768,0.0349183837968746,0.8999635344423002,0.0144415694981031,0.937788232921736,0.014220420642366,0.8976796000783758,0.0245881629327883,0.3378534031413612,0.0409680427510223,0.2372641509433962,0.0288540934150114,0.3747252747252746,0.0985015823081727,64.53000000000002,7.824896165445264,150.9,18.35120341194731,102.3,26.890931970131163,-0.3378534031413612,0.0409680427510223,-0.2372641509433962,0.0288540934150114,-0.3747252747252746,0.0985015823081727,0.1096703296703296,0.016347013141654,0.0673267326732673,0.0160329475927275,0.11,0.0264115010909089,0.5454999999999999,0.0694602204302737,0.3918918918918918,0.0450172308744121,0.6153846153846154,0.174591918984373,0.9401725274725274,0.0104074192580187,0.983866044262084,0.0036998645512314,0.9445266272189348,0.0135931880101988,0.8821161317995847,0.0143283638213301,0.915440883628506,0.0098281228971916,0.8686470080913974,0.0337054930897887,0.8903296703296706,0.016347013141654,0.9326732673267326,0.0160329475927275,0.89,0.0264115010909089,0.8857491766672567,0.0137645178723035,0.92394444311946,0.0118981454288476,0.8789839134783761,0.0269279987378974,91.0,0.0,303.0,0.0,130.0,0.0,0.8999635344423002,0.0144415694981031,0.937788232921736,0.014220420642366,0.8976796000783758,0.0245881629327883,0.8909,0.0138920440860548,0.9216216216216216,0.0090034461748824,0.8769230769230768,0.0349183837968746,0.8950120750888189,0.0126163652919038,0.9296054269589884,0.0104878249583938,0.8869852589336983,0.0271394250249949,100.0,0.0,333.0,0.0,143.0,0.0,81.01999999999998,1.487578195890517,282.6,4.857983120596447,115.7,3.4334951418181574,9.98,1.4875781958905183,20.4,4.857983120596447,14.3,3.4334951418181574,10.910000000000002,1.3892044086054751,26.1,2.9981475762358474,17.6,4.993328882953068,89.09,1.3892044086054756,306.9,2.998147576235848,125.4,4.993328882953068,0.8903296703296706,0.016347013141654,0.9326732673267326,0.0160329475927275,0.89,0.0264115010909089,0.8821161317995847,0.0143283638213301,0.915440883628506,0.0098281228971916,0.8686470080913974,0.0337054930897887,0.1096703296703296,0.016347013141654,0.0673267326732673,0.0160329475927275,0.11,0.0264115010909089,0.1091,0.0138920440860547,0.0783783783783783,0.0090034461748824,0.123076923076923,0.0349183837968746,HY3,y_1_vs_rest,X_V06_DELTA,No_scaler
svm,binary,"[0, 1]",2,0.88282722513089,0.0060294095306636,0.889308176100629,0.0082935180062274,0.8794871794871796,0.0136457470778495,0.8813892921954253,0.0066380793722305,0.8881972886478279,0.0091397560020055,0.8764495669879521,0.0157008314429016,0.8327,0.011035800328426,0.8402402402402401,0.0145610382750496,0.8174825174825175,0.0260509716940764,0.9368970571386436,0.0060524683475517,0.9420660291336505,0.0033950112560459,0.945053641089611,0.0069481178251296,0.4675392670157068,0.0285104053845195,0.4452830188679245,0.0387046611911313,0.5029304029304029,0.0678957927693074,89.3,5.445487428443239,283.2,24.616164517559508,137.3,18.53555142602093,-0.4675392670157068,0.0285104053845195,-0.4452830188679245,0.0387046611911313,-0.5029304029304029,0.0678957927693074,0.062087912087912,0.00634979334189,0.0567656765676567,0.0030327940048603,0.0523076923076923,0.0070687429497898,0.8365,0.0551790016421303,0.7987987987987987,0.0728051913752479,0.9125874125874124,0.1302548584703823,0.9295274725274728,0.0093650554066805,0.9357129406634356,0.0063206999377027,0.9303442711135018,0.0162783789861022,0.8366933166356357,0.0089082995721417,0.8432128952962306,0.0122405518458537,0.8256452519367482,0.0202596979830078,0.937912087912088,0.0063497933418899,0.9432343234323431,0.0030327940048603,0.9476923076923076,0.0070687429497898,0.8841543202128703,0.0055253850161267,0.8903871852219517,0.0074871307819413,0.882333787227695,0.0118481942396161,91.0,0.0,303.0,0.0,130.0,0.0,0.9368970571386436,0.0060524683475517,0.9420660291336505,0.0033950112560459,0.945053641089611,0.0069481178251296,0.8327,0.011035800328426,0.8402402402402401,0.0145610382750496,0.8174825174825175,0.0260509716940764,0.8813892921954253,0.0066380793722305,0.8881972886478279,0.0091397560020055,0.8764495669879521,0.0157008314429016,100.0,0.0,333.0,0.0,143.0,0.0,85.35,0.5778311941119895,285.8,0.9189365834726816,123.2,0.9189365834726816,5.65,0.5778311941119905,17.2,0.9189365834726816,6.8,0.9189365834726816,16.729999999999997,1.1035800328426062,53.2,4.8488257455915145,26.1,3.725288952252936,83.27,1.1035800328426084,279.8,4.8488257455915145,116.9,3.725288952252936,0.937912087912088,0.0063497933418899,0.9432343234323431,0.0030327940048603,0.9476923076923076,0.0070687429497898,0.8366933166356357,0.0089082995721417,0.8432128952962306,0.0122405518458537,0.8256452519367482,0.0202596979830078,0.062087912087912,0.00634979334189,0.0567656765676567,0.0030327940048603,0.0523076923076923,0.0070687429497898,0.1672999999999999,0.011035800328426,0.1597597597597597,0.0145610382750495,0.1825174825174825,0.0260509716940764,HY3,y_1_vs_rest,X_V06_STATS,No_scaler
logistic_regression,binary,"[0, 1]",2,0.8613089005235602,0.0142732453003146,0.97562893081761,0.0065566016788243,0.8410256410256409,0.0091697110405463,0.865199401010327,0.0135702156615831,0.9762720071623114,0.0064403043341166,0.8447870227302164,0.0081487443486599,0.8510000000000002,0.0130042728020874,0.9582582582582584,0.0095436928420845,0.825874125874126,0.0175832374504858,0.8810515939314373,0.017269731672909,0.9950085443686346,0.0047145970344004,0.8652454502531199,0.0204001857990406,0.4507329842931937,0.0400016218159376,0.1117924528301886,0.026304320824899,0.5238095238095238,0.0384954402208411,86.09,7.640309766844097,71.1,16.72954804463581,143.0,10.509255180289632,-0.4507329842931937,0.0400016218159376,-0.1117924528301886,0.026304320824899,-0.5238095238095238,0.0384954402208411,0.1273626373626373,0.019510094214231,0.0052805280528052,0.0049687963875186,0.1423076923076923,0.0264612403083978,0.7449999999999999,0.0650213640104371,0.2087087087087087,0.0477184642104225,0.8706293706293706,0.0879161872524294,0.9087769230769231,0.0134379415420318,0.9972011615575972,0.0017129345340323,0.9036578805809576,0.0157528266887354,0.8430584829911684,0.0135203170058611,0.9559811612251772,0.0097914761215179,0.8177644019895871,0.0121219796742142,0.8726373626373626,0.019510094214231,0.9947194719471948,0.0049687963875186,0.8576923076923076,0.0264612403083978,0.856986830308388,0.0151293988163434,0.9749493349932298,0.0066763492011067,0.8369555042863714,0.0112628697017414,91.0,0.0,303.0,0.0,130.0,0.0,0.8810515939314373,0.017269731672909,0.9950085443686346,0.0047145970344004,0.8652454502531199,0.0204001857990406,0.8510000000000002,0.0130042728020874,0.9582582582582584,0.0095436928420845,0.825874125874126,0.0175832374504858,0.865199401010327,0.0135702156615831,0.9762720071623114,0.0064403043341166,0.8447870227302164,0.0081487443486599,100.0,0.0,333.0,0.0,143.0,0.0,79.41,1.7754185734950243,301.4,1.5055453054181622,111.5,3.439961240091716,11.590000000000002,1.7754185734950254,1.6,1.505545305418162,18.5,3.439961240091716,14.9,1.3004272802087442,13.9,3.178049716414141,24.9,2.514402955419481,85.1,1.3004272802087444,319.1,3.178049716414141,118.1,2.514402955419481,0.8726373626373626,0.019510094214231,0.9947194719471948,0.0049687963875186,0.8576923076923076,0.0264612403083978,0.8430584829911684,0.0135203170058611,0.9559811612251772,0.0097914761215179,0.8177644019895871,0.0121219796742142,0.1273626373626373,0.019510094214231,0.0052805280528052,0.0049687963875186,0.1423076923076923,0.0264612403083978,0.1489999999999999,0.0130042728020874,0.0417417417417417,0.0095436928420845,0.1741258741258741,0.0175832374504858,HY3,y_1_vs_rest,X_V06_STATS,No_scaler
